participant_id,accuracy_ai_first,accuracy_human_first,accuracy_no_ai,cost_ai_first,cost_human_first,cost_no_ai,ai_benefit_accuracy,ai_benefit_cost,approve_rate_no_ai,rt_mean_no_ai,prob_variance_no_ai,quiz_score,rt_mean,rt_artifact_flag,subgroup
024c1263-22a0-43eb-adae-db5a3fbd8cdf,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,2.0,0.3333333333333333,0.6666666666666665,0.5,23328.0,0.11669666666666664,3,14701.555555555555,False,ai_benefited
0809766c-1688-432f-a170-b4724056ab0b,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.08333333333333337,0.75,0.5,8328.666666666666,0.15725666666666668,3,13526.277777777777,False,ai_neutral
08646e3b-d31d-4273-a2c6-666de8596593,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.1666666666666667,0.16666666666666663,0.16666666666666674,0.3333333333333333,18113.5,0.07133666666666667,3,33094.166666666664,False,ai_neutral
086cd83d-7554-4b44-b82f-2b6852c57cc2,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,0.16666666666666666,-0.16666666666666674,-0.8333333333333334,0.3333333333333333,7606.833333333333,0.025816666666666665,3,8398.0,False,ai_impaired
0bc0c741-bd71-48c0-94a3-d674e6a3e82a,0.6666666666666666,0.5,0.5,0.3333333333333333,1.1666666666666667,1.8333333333333333,0.08333333333333326,1.0833333333333333,0.6666666666666666,5814.166666666667,0.053680000000000005,3,8055.388888888889,False,ai_neutral
171f4513-9cd4-4bed-a2a2-091342c0f0b7,0.6666666666666666,0.8333333333333334,0.5,1.0,0.16666666666666666,1.1666666666666667,0.25,0.5833333333333334,0.3333333333333333,5744.166666666667,0.08969666666666665,3,7670.833333333333,False,ai_benefited
185a0c25-3024-4ebd-872c-489638c148f0,0.5,0.6666666666666666,0.5,1.1666666666666667,0.3333333333333333,1.1666666666666667,0.08333333333333326,0.41666666666666674,0.3333333333333333,15061.666666666666,0.08309666666666668,3,13738.888888888889,False,ai_neutral
2224fa95-8663-4e2f-90a2-4e9efc0250ae,0.5,0.6666666666666666,0.3333333333333333,1.8333333333333333,1.0,2.0,0.24999999999999994,0.5833333333333335,0.5,8350.5,0.07022666666666667,3,9106.722222222223,False,ai_benefited
249205d5-2f1f-4551-af12-3b3b0b1872fe,0.6666666666666666,0.5,0.5,1.0,1.8333333333333333,1.8333333333333333,0.08333333333333326,0.41666666666666674,0.6666666666666666,110154.5,0.11391,3,98608.05555555556,True,ai_neutral
25f6be37-6348-4ea7-a6d7-34e3d73919b3,0.8333333333333334,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5,0.25,0.25,0.0,19465.833333333332,0.0010966666666666672,3,15545.722222222223,False,ai_benefited
