participant_id,implicit_threshold,n_trials,reason
024c1263-22a0-43eb-adae-db5a3fbd8cdf,0.46778838324269456,6,ok
0809766c-1688-432f-a170-b4724056ab0b,0.4579746210894486,6,ok
08646e3b-d31d-4273-a2c6-666de8596593,0.0,6,ok
086cd83d-7554-4b44-b82f-2b6852c57cc2,0.0,6,ok
0bc0c741-bd71-48c0-94a3-d674e6a3e82a,1.0,6,ok
171f4513-9cd4-4bed-a2a2-091342c0f0b7,0.0,6,ok
185a0c25-3024-4ebd-872c-489638c148f0,0.0,6,ok
2224fa95-8663-4e2f-90a2-4e9efc0250ae,0.456990023665723,6,ok
249205d5-2f1f-4551-af12-3b3b0b1872fe,1.0,6,ok
25f6be37-6348-4ea7-a6d7-34e3d73919b3,,6,insufficient
29bb8944-35e6-4a3f-869b-3f88cca72807,0.0,6,ok
2d885aaa-350a-460c-a25f-a2cdda5ab8d1,0.3316415521042975,6,ok
2dfb68a3-02cb-4832-a0cb-0613e06cbb79,0.0,6,ok
2f4bd4bd-f906-46c7-90eb-dd8b7a2aad75,0.4033209470202651,6,ok
319666fd-af6a-47ea-97b8-8d31ab4d4499,0.0,6,ok
33167da3-4769-44b4-959c-3b415913803f,0.0,6,ok
331af187-d550-44c0-a432-7c4bf2d1834e,1.0,6,ok
3abe4c81-7886-430d-a72d-183ed67fef54,0.0,6,ok
3acf91f7-acff-41d0-978b-540997498219,0.33308269288995407,6,ok
3e534300-d94c-4868-90b3-05fc94e693ce,0.44477858569323725,6,ok
3ffb7c61-3132-484d-91b6-41d90667b600,0.33327372236967606,6,ok
41228131-4a58-4cf4-a7f1-cc61799aa770,0.0,6,ok
497f3af5-6cb0-4b44-bb81-82e26ff4b8a7,0.0,6,ok
4e18b937-0d42-4d27-93e9-6111216f15ca,0.22646619846222857,6,ok
4e1d51ed-1707-4998-920d-1061250781c9,1.0,6,ok
4e955ad8-2dac-4d5b-8359-bc4ec54e7d24,0.0,6,ok
50e98990-ef4c-4ddd-a397-1f96e3a7625d,,6,insufficient
549af201-9db5-4a7a-8161-0348de878524,0.0,6,ok
5925e8f3-c741-45d7-aead-cb2ca14dd11c,1.0,6,ok
59f562b7-b635-4d47-b33a-96773a951ab0,0.3834279537721369,6,ok
5a9394a4-398a-4735-bc1a-0bd53dd537ef,0.0,6,ok
5ab05454-93a7-4cf0-8261-17cfe16bb436,0.44636680036748866,6,ok
5b22b5f9-0ac2-461a-b3b7-49eab4dc72aa,1.0,6,ok
5bce58c9-ae20-4ff8-b7e4-f8be5635ba9f,1.0,6,ok
5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,0.0,6,ok
60274acc-f75a-4d91-ba1e-9e0ab2446950,1.0,6,ok
614af4f1-d2d2-4698-97b0-3aafe917ece9,0.0,6,ok
618890c1-594d-4f37-8e9b-9e258b7584c1,1.0,6,ok
6341edae-070c-4be4-8a47-cc7aca67777c,0.0,6,ok
6ad25990-60b9-499b-90e9-5bd61968e25e,0.29055033669908836,6,ok
6d767528-958e-4647-85fa-9e1373802f6e,1.0,6,ok
6f72bec3-c951-46ef-bf7e-60c451495f34,0.34318865750966426,6,ok
6fe8646d-56bc-4dd8-bf27-bb2ff2fb98fa,0.0,6,ok
71ebe6d2-cc2a-41d6-8b8b-4fbb50c51ef7,0.0,6,ok
7568ffcf-9e0d-4210-9b5e-ae7352d72820,0.0,6,ok
76b0a449-48fe-4794-bf44-0cccc5848e53,0.0,6,ok
7953c98e-4821-4d82-8602-8c3585685b79,0.0,6,ok
797b4863-17de-4adf-a23c-bda119333a92,0.3650521382243594,6,ok
7b62acc5-89a4-4456-99e1-6cab0b6524e6,0.2964253932998357,6,ok
7d71f297-acf2-46e3-9397-18f4a4129940,0.0,6,ok
7e0e0ba7-0a0e-4340-86fd-11fe31400d58,0.0,6,ok
7e7ce15b-29e7-493a-9f20-85edc1471f4d,0.0,6,ok
803cb15d-f800-4152-971b-ed9bec034003,0.0,6,ok
86971c7a-efc2-419b-a8ab-ca69b8efec92,0.366651400530106,6,ok
878dfa2a-963f-40a4-8a93-8f99ef152d7b,0.2892629153147796,6,ok
8b0ed8bd-74ec-4a64-800f-d8770e03c0ee,1.0,6,ok
8b232a5f-a0f7-4fd4-bf2f-7d7bda229555,1.0,6,ok
8c76fba5-fcd7-4226-b2ce-978854065a4b,0.0,6,ok
90cc6dcb-4cbd-4e9a-8a9a-15dc07029998,0.0,6,ok
91d8efe7-e72a-44d2-9dd9-aa3fb5af7c5c,0.4299711343169709,6,ok
92f9145b-7970-41e0-bdb6-27b6e3ab7ae6,0.0,6,ok
9a4a1820-d02c-4055-a430-9c650252b607,1.0,6,ok
a0f593ae-6556-41e1-a27c-83bd8aa5fbdb,,6,insufficient
a170c580-77c1-44de-994d-0ea312198bdc,0.2831376712548271,6,ok
a1ec9b19-9af5-43ec-9c24-cb0a1823665e,1.0,6,ok
a44edca0-faad-4489-bd9d-658cdc349061,0.0,6,ok
a81a9ab9-dd47-4d00-b52a-1b10e9dd0405,1.0,6,ok
a9611966-ab5a-4b47-b62b-8c7f3cd6279b,0.4041070651059552,6,ok
ac2ed014-7513-442a-a09a-8752e44b6128,0.30158350917618076,6,ok
acb4fb9a-43d2-4dd7-9207-04a99b9e9793,0.291529618853327,6,ok
b025b334-5acc-4622-a7ec-a37f31931d53,1.0,6,ok
b12c9aca-dcf2-45af-b043-ca1d2cdc8151,0.5305078838283049,6,ok
b3c1dc06-e1fb-455c-8a58-384c4d1470b0,0.36674277535968625,6,ok
b58da463-b503-44f4-a239-f210c51992f9,0.33833206004173166,6,ok
b6029113-d267-47fd-a083-246bbcaa980a,0.2883197077761969,6,ok
b79d9139-a23f-4a79-97da-d2bec16520ef,0.3214777654837935,6,ok
c484d3f9-9d4f-4063-bc08-907b2338e789,0.0,6,ok
c641c79c-ce92-4e71-a097-647f2281d4f1,0.0,6,ok
c665ef47-f32b-4080-89b2-b976ceaa1c1e,0.39001790239203127,6,ok
c82d5424-d47c-4d15-b563-d06fed701969,1.0,6,ok
