case_id,case_position,block,loan_amnt,term,int_rate,log_annual_inc,dti,revol_util,home_ownership,purpose,credit_history_years,pred_prob,y_true,difficulty_tier,difficulty_score,correct,confidence,conf_bin,model_optimal
226053,1,block_1,18500,36 months,9.16,11.407576060361786,17.23,94.4,RENT,debt_consolidation,12.336755646817249,0.11420314674087555,1,easy,0.119781811193675,0,0.8857968532591245,low,1
45146,2,block_1,8000,36 months,12.62,10.491301994830229,19.57,39.3,MORTGAGE,house,16.0,0.1445954487989886,1,easy,0.3256126523295986,0,0.8554045512010113,low,1
767833,3,block_1,4000,36 months,9.44,10.404293143019792,26.29,77.4,RENT,credit_card,21.916495550992472,0.16864155734236144,1,easy,0.221554306137226,0,0.8313584426576386,low,0
737453,4,block_1,19000,36 months,7.99,11.60824473564232,12.04,13.9,MORTGAGE,debt_consolidation,29.336071184120467,0.05472636815920398,0,easy,0.112205897985942,1,0.945273631840796,high,1
10009,5,block_1,4850,36 months,11.06,10.645448706505872,16.6,5.6,MORTGAGE,credit_card,11.16769336071184,0.11420314674087555,0,easy,0.3109590584004259,1,0.8857968532591245,low,1
17011,6,block_1,40000,60 months,12.13,11.156264806643742,11.79,49.3,MORTGAGE,major_purchase,14.080766598220396,0.23434782608695648,0,easy,0.2643126322290442,1,0.7656521739130435,low,0
36092,7,block_2,25000,36 months,16.02,11.982935344196433,26.59,57.0,MORTGAGE,house,38.757015742642025,0.1445954487989886,1,hard,0.6638770980299233,0,0.8554045512010113,high,1
66629,8,block_2,6000,36 months,16.99,9.769441741907062,27.59,69.3,MORTGAGE,debt_consolidation,20.66803559206023,0.34688036634230107,1,hard,0.7444359170466324,0,0.653119633657699,high,0
714073,9,block_2,10000,36 months,19.99,10.085850775128716,24.4,27.7,RENT,credit_card,17.505817932922657,0.4225352112676056,1,hard,0.7444359170466324,0,0.5774647887323944,low,0
743085,10,block_2,9600,36 months,16.02,12.301387370778713,24.19,102.8,MORTGAGE,major_purchase,20.917180013689254,0.11420314674087555,0,hard,0.6638770980299233,1,0.8857968532591245,high,1
309493,11,block_2,6675,36 months,15.99,10.859018228147889,22.18,29.3,RENT,debt_consolidation,23.915126625598905,0.25075987841945274,0,hard,0.693753291083134,1,0.7492401215805473,high,0
11417,12,block_2,16000,60 months,18.45,11.097425172408933,24.24,50.9,MORTGAGE,credit_card,17.409993155373034,0.39705882352941174,0,hard,0.7842903563295328,1,0.6029411764705883,low,0
302300,13,block_3,4000,36 months,11.44,11.31448672129398,26.06,67.3,MORTGAGE,home_improvement,15.000684462696784,0.11420314674087555,1,medium,0.3427308405547099,0,0.8857968532591245,high,1
90424,14,block_3,4000,36 months,11.49,9.90353755128617,24.79,44.6,RENT,debt_consolidation,29.66461327857632,0.23434782608695648,1,medium,0.3538847827146685,0,0.7656521739130435,high,0
138970,15,block_3,15000,36 months,14.46,10.757924157061597,26.66,69.4,RENT,credit_card,40.498288843258045,0.25075987841945274,1,medium,0.5050443300815507,0,0.7492401215805473,low,0
101144,16,block_3,6000,36 months,13.49,10.491301994830229,14.23,86.7,MORTGAGE,credit_card,29.251197809719372,0.1445954487989886,0,medium,0.4491614342659101,1,0.8554045512010113,high,1
97484,17,block_3,4800,36 months,10.99,10.463131911491969,32.68,40.3,MORTGAGE,debt_consolidation,10.915811088295689,0.1819352070371165,0,medium,0.3538847827146685,1,0.8180647929628835,high,0
94491,18,block_3,6000,36 months,19.99,11.49273296168228,22.68,64.4,MORTGAGE,home_improvement,20.49828884325804,0.25075987841945274,0,medium,0.6273310353167125,1,0.7492401215805473,low,0
