id,participant_number,participant_group,age_range,education,consent_timestamp,started_at,completed_at,completed,trust_rating,self_reported_reliance,ai_surprise_strategy,total_cost,optimal_cost,session_id,current_trial_index,current_phase
6dea4b04-927d-4dd1-bc34-202ebf45ad95,11,group_2,35-44,High school,2026-04-23T12:58:10.847414+00:00,2026-04-23T12:58:10.847414+00:00,,False,,,,,,4a5ca4a4-b165-44c8-83a0-adc246fc07fb,-2,trial
a3bed886-54ad-42e4-abfe-07c3c1517148,1,group_1,35-44,Bachelor's (in progress),2026-04-21T18:11:13.441808+00:00,2026-04-21T18:11:13.441808+00:00,,False,,,,,,a813dcf0-5037-4601-8b9d-a41ab891db2e,0,glossary
18009e86-8159-4e38-a0e8-7b6fcd393ede,27,group_3,55+,Master's or higher,2026-04-25T15:56:13.85227+00:00,2026-04-25T15:56:13.85227+00:00,2026-04-25T15:58:41.590964+00:00,True,1.0,Always,It depended on the case,7000.0,6000.0,49b945dc-4377-4e71-9c37-0c09c1393991,18,thank_you
7d3540d9-75f3-494d-80b1-9ad48298e1a9,17,group_2,25-34,Bachelor's (completed),2026-04-23T15:41:37.446393+00:00,2026-04-23T15:41:37.446393+00:00,,False,,,,,,219ed7c9-6b44-4b1f-8b4e-85101cb144d2,-2,trial
517ec201-921f-47dd-ab70-6ebd91e90566,12,group_3,18-24,Bachelor's (in progress),2026-04-23T13:44:03.656496+00:00,2026-04-23T13:44:03.656496+00:00,,False,,,,,,8ea6ed16-884b-4efd-8848-4b26d61045c9,0,glossary
9bc6e4f4-0d28-43a1-9932-397d19365d8a,3,group_3,25-34,Bachelor's (in progress),2026-04-22T09:16:04.918248+00:00,2026-04-22T09:16:04.918248+00:00,,False,,,,,,53331801-a8b3-439b-af56-4e83483b145c,1,trial
e5ed4a33-0280-4e64-b8ff-446839b7930b,13,group_1,,,2026-04-23T13:46:04.723314+00:00,2026-04-23T13:46:04.723314+00:00,,False,,,,,,6036cc1e-c300-4a84-8b59-45529463b39d,0,demographics
46b9d5fc-0237-4c85-9dc4-68de0260bcfe,7,group_1,35-44,High school,2026-04-22T21:08:25.969919+00:00,2026-04-22T21:08:25.969919+00:00,,False,,,,,,a72e46d9-2e59-4cbe-b3b0-ebb090cc1fd3,1,trial
4ae4cd4f-5bdd-4bef-874e-8f443a987e5e,4,group_1,25-34,Bachelor's (in progress),2026-04-22T19:17:12.620778+00:00,2026-04-22T19:17:12.620778+00:00,,False,,,,,,da3f972b-926c-4284-9a5a-cac8cbf4aa00,-2,trial
ac0e5b47-21a4-4643-bc4d-0d7bb96f1ca6,18,group_3,25-34,Bachelor's (in progress),2026-04-23T17:50:24.504192+00:00,2026-04-23T17:50:24.504192+00:00,,False,,,,,,ce1769a3-428f-4859-a9c9-a866cec55d15,0,glossary
